MemberCommentId,PreProcessedBody
BA1357D7-946B-412A-A394-097B8F044585,فقط مرغ سوخاری خوردم خیلی وقت پیش خوب بود
A0D1F215-B7E8-6930-3FB3-0003236B818B,توجه انتظاری ایجاد شده بود مقایسه انتظار بود انپه آرایه شد باعث سخت‌گیری بنظر حد بنده شده باشد فضای فوق‌العاده رستوران یاداور شرایط خاصی است موسیقی انتخاب‌شده رفتار پرسنل تناسب نداشت کیفیت غذا کاملا متوسط بود بخصمص نان سیرداری سرو شد غیر قابل باور بود بعید می‌دانم مراجعه مجددی داشته باشم
BDFE4EDE-DB6B-4490-B739-09868EC0C082,واقعا حیف مرشد بروی وگردنش نخوری گردن مرشدم فقط رفتین پیاز داغش فراموش نکنید گردن
C8CCB502-6FAF-4D00-A1A8-050BEAEF27E9,دوست عزیز جناب آق‌های مهیار مقیمی طبق نظر آخرتان رستوران ژیلمو اولین بار رستوران رفتید کاملا ناراضی برگشتیدو مقدار نظرات رستوران بالا پایین کنیم متوجه می‌شویم تاریخ‌‌های نظراتی همین شکل روبرو می‌شوم خصومت شخصی کس خاصی مجموعه دارید
8DD6EE3E-9D22-410A-ABF1-09A1BB4EE865,قبل‌‌تر یکی بهترین برگر‌‌ها بود حالا کیفیتش کمی افت کرده یکی دو بار گوشتش غضروف بود از‌طرفی بسیار شور بود گذشته تنها انتخابم همبرگر بود نخواهم رفت
6762B09C-9C2A-44EE-8AA5-050FC89F735C,پیتزا توسکانا رستوران مانژیامو نسبت غذا‌هایش خیلی معمولی بود پیشنهاد نمی‌شود
E7B0CEA4-AB2D-48BA-BD01-0519C965F4AC,کباب برگش خیلی بد بود مزه زخم میداد ماهی میگوش واقعا خوب بود استیکش هستم می‌دهم استیکش جالب نبود سقف رستوران خیلی کوتاه‌ هست مدام بوی غذا می‌آید فضای رستوران چون تهویه خوبی ندارد فضای رستوران اشپزخونس پیشنهاد نمی‌کنم چون نسبت قیمتش غذای خیلی بدی می‌دهد
4A287F96-73A1-4FE9-BA8E-0ED86A374551,متاسفانه بد‌ترین بی‌کیفیت‌ترین رستورانی سطح بود رفتم توجه تعاریف رستوران واقعا تعجبم تاریخ رستوران رفتیم استیک تی بو هستند استیک اسکالوپ مرغ شیر ماهی گریل بیف استراگانوف چیکن آلفرد جوجه کباب گرات هستند مرغ سوپ سفارش دادیم مواد اولیه استیک‌‌ها شیر ماهی کاملا مانده بود وحتی کاملا استیک تی بو هستند بوی گوشت مانده سفت شیر ماهی فوق‌العاده شور آشپز سوزانده بود اعلام گارسون شیر ماهی عوض هیچ تفاوتی مشاهده نگردید بیف استراگانوف فقط سس خامه قارچ خیلی خیلی کم گوشت پیدا می‌شد جوجه متاسفانه سفت بود چیکن آلفرد بهتر است صحبتی نکنم حدی گارسون محترم دلجویی عذرخواهی کارت رستوران نوشته خطی آرایه داد مراجعه بعدی جبران کنند واقعا نیاز هست بازرس بهداشت حتما رستوران مراجعه پیگیر کیفیت مواد اولیه استفاده رستوران باشد خاطره خیلی بدی بود
DE58A3C9-38C4-4DD5-8160-04D950AAFF47,چیزفرایز خیلی خوب هست ساندویچ‌‌هایش نسبت برگر‌هایش بیشتر خوشم آمد ترافل برگرش خیلی روش تبلیغ می‌کنند اصلاً خوب نیست رست بیفش خوب هست ساندویچ مرغش بوی نامطبوعی داشت
9C510F2F-9CC0-4380-AADF-04E5C215F800,صبحانه بوفه رستوران صرف کردیم کیفیت بسیار بد بودوحتی قهوه ماشینی اکس‌تر‌ها حساب کرد
EE675835-7E22-473E-9C83-00464C605E8D,سلام دوستان تصمیم گرفتم تجربه رستوران‌هایی قبلا رفتم می‌آیند بگذارم چهارمین گزارش رستوران هست خاتون شریعتی بعضی رستوران‌‌ها هستند قول معروف درکردن آدم جورایی بارم شده سر بزند خاتون هاست ابتدا جای پارک خیلی سخت بود شانسی جای پارک پیدا کردیم رستوران خیلی خیلی شلوغ بود شبیه صف کوپن بود می دوانید صف ایستادند ایران دردسریه متنفرم مخصوصا ادم‌هایی زرنگ بازی می‌آورند حرفا کلی سختی زمان خیلی طولانی بالاخره نوبت شد سفارش غذا دادیم بعد می‌رفتیم خیابون وایمیستادیم صدایمان کنند گفتیم عیب ندارد همه درد سر شلوغی حتما خیلی خوب هست رستورانش ارزش شو دارد بعد کلی وقت سرانجام رفتیم نشستیم شروع کردیم پیتزا نسبت قیمت واقعا کوچیک بود شبیه مینی پیتزا بود ساندیچ همین کمال تعجب مزه پیتزا نگویم افتضاح بد بود تجربه جدید اعتقاد دارم بد‌ترین جاها حتا شده بار امتحان می‌کنم توصیه می‌کنم نرید چون اصلا امتحانش هستم نمی‌ارزید فقط ازم بپرسد خاتون رفتی می توانم بگویم اره بار رفتم
8C83D52F-7B6D-496B-B7F1-0EA6DB811D6D,اغذیه نشاط نهار آمدم تعریفش خیلی شنیده بودم‌ کباب ترکی گوشت گرفتم مقدارش زیاد بود گوشت خیلی داشت قارچ فلفل دلمه پیاز کم بود گوشت بی‌طعم بود برشته نشده بود قیمت بود بنظر زیاد هست
2954D10A-8C78-4132-A1BD-0547CB51B819,جزو دیزی‌های معروف تهران هست نسبت جاهای قیمت بالا‌تری دارد انصافا خوشمزه است هیچ ایرادی نمی‌شود گرفت فقط پیشنهاد بگویید دیزی بکوبند کوبیده سرد تحویل می‌گیرید مطمعنا خودتان بکوبید بهتر هست
FEEF06BF-2A36-4266-9063-04EDC572CA54,متاسفانه کیفیت رفتاری کارکن‌ها هستند اصلا حد رستورانی کیفیت غذا نیست نظرم مدیریت موضوع کار کنند
