MemberCommentId,PreProcessedBody
13C6EED1-2F25-4549-8FC8-098608956860,داییت اولا خیلی دوست داشتم کلی جدید نوشتین می‌شود رفت
31064917-7885-4AFA-9235-00009D6F24AC,خیلی خوب بود واقعا توصیه می‌کنم حتما سر بزنید دوست‌هایتان لذت بردیم خوش کذشت ممنون فیدیلیو
C9D73939-0F4C-432F-9249-04DD93DF00F8,غذای خوشمزه باکیفیت سینی کبابش توصیه می‌شود هیجان انگیزه برخورد خیلی خوب پرسنل صاحب رستوران قیمت‌‌ها بالا است ارزشش توصیه دارد می‌شود
9104028F-9881-4047-802A-097CF2699457,دیشب رفتیم برخوردپرسنل خیلی خوب بود حمص خوشمزه بود استیک سنگی خیلی خوشمزه بود وچیکن هرب معمولی بود سبزیجات کنارش وسبزیجات استیک خیلی خوب درست شده بود راضی بودیم وتصمیم گرفتیم حتما دوباره بریم
58EBDB60-D787-4A74-BE67-0009F7E72472,رستورانی دیزاین خاص غذا‌های خوشمزه کیفیت
CDA25486-68CB-4F62-829D-04E01AFC323E,رستوران گاندی هست تم سفره خانه دارد دارای موسیقی زنده دو سانس هست میز اردور بسیار تکمیل انواع اقسام پیش غذا سالاد بسیار خوشمزه صورت بوفه است غذا دارد سفارش بدهید مهمان بودم غذا فکر کنم سینی کباب بود انواع کباب بود بسیار خوشمزه بود رستوران دارای موسیقی زنده می‌باشد وگروهای مختلفی ساعات مختلف برنامه اجرا می‌کنند پرسنل بسیار خوش برخورد مدام پذیرایی هستند گاهی اوقات حرکتی انگار دارند چایی می‌ریزند شوخی می‌کنند بسیار جالب بود نظر قیمت دقیق نمی‌دانم چون مهمان بودم رستوران گرانی است صورتی خواستید رستوران عالی‌قاپو تجربه کنید حتما قبل رزرو کنید
B595B25F-77A7-4727-A2D3-0988C23A22B0,اولین نکته مثبت محیط جالبش هست ساختمون قدیمی فضای صندلی‌‌های بیرونش کمی اذیت می کند همین میز‌های دایره شکلش قهوه‌‌هایش عالی هست همیشه لت هست سفارش می‌دهم چای ترشم خیلی خوب هست کلا چای ترش دوست داشته باشید نکته منفی غذا‌هایش هست حجم کم طعم خیلی معمولی مخصوصا سرشان شلوغ باشد بار چیپس پنیر گرفتم ذغال تحویل دادن رفتار پرسنلشان هستم خیلی مودی هست گاهی خیلی خوب گاهی خیلی سرد
CD31EB43-CB8F-4D3F-8C87-000A2F21DDE6,همسرم دیشب تولدم کمک پرسنل رستوران سوپرایز کرد همه عالی بود همکاریشون کار‌ها تدارکاتشان فضای دلنشین رمانتیک غذای خوشمزه زیبا همه راضی بودم استیک لیون لیدی لاور واقعا عالی بود
91DC5208-36FA-439B-AA44-002033A2DE1E,واقعا عالی بود دومفر رفتیم کوبیده انگشتی گرفتیم قیمه نذری سالاد شیرازی دوغ نوشابه قیمتش شد خیلی خوب بود رازی بودم پولی دادم کیفیت عالی برخورد عالی قشنگ یاد بچگیام افتادم مخصوصا شکلات‌‌های کام آخرش دادن
BD23D21E-8ACF-49CC-AD99-04E72A371DC9,صبحانه رستوران آمدیم پارکینگ جا نداشته باشد بیرون هتل سختی جا پیدا می‌شود انتظار بود فضای آزاد بنشینیم صبحانه نمی‌شود طبیعتا چشم‌انداز زیبا دست دادیم کیفیت سرویس‌دهی برخورد پرسنل خوب محترمانه بود کیفیت تنوع میز صبحانه خوب بود می‌توانست بهتر باشد چون تنوع بیشتر دیدم تنوع متوسط محسوب می‌شود جای خوبی هست
